"Date","Price","Open","High","Low","Change %"
"04/25/2024","60.78","60.78","61.24","60.78","2.55%"
"04/24/2024","59.27","59.27","60.71","59.27","-2.52%"
"04/23/2024","60.80","60.80","60.80","59.30","-2.36%"
"04/22/2024","62.27","62.27","62.27","60.84","-0.05%"
"04/19/2024","62.30","62.30","62.30","62.26","-4.58%"
"04/18/2024","65.29","65.29","65.29","62.25","-0.71%"
"04/17/2024","65.76","65.76","65.76","65.28","3.89%"
"04/16/2024","63.30","63.30","65.70","63.30","5.03%"
"04/15/2024","60.27","60.27","63.22","60.27","-0.03%"
"04/12/2024","60.29","60.29","60.39","60.29","0.00%"
"04/11/2024","60.29","60.29","60.29","60.27","-2.46%"
"04/10/2024","61.81","61.81","61.81","60.23","-0.75%"
"04/09/2024","62.28","62.28","62.28","61.82","-1.52%"
"04/08/2024","63.24","63.24","63.24","62.23","-0.08%"
"04/05/2024","63.29","63.29","63.29","63.24","-3.77%"
"04/04/2024","65.77","65.77","65.77","63.29","-0.75%"
"04/03/2024","66.27","66.27","66.27","65.77","2.33%"
"04/02/2024","64.76","64.76","66.23","64.76","-0.03%"
"04/01/2024","64.78","64.78","64.78","64.78","0.00%"
"03/29/2024","64.78","64.78","64.78","64.78","-0.74%"
"03/28/2024","65.26","65.26","65.26","64.76","-1.52%"
"03/27/2024","66.27","66.27","66.27","65.31","0.74%"
"03/26/2024","65.78","65.78","66.29","65.78","-0.72%"
"03/25/2024","66.26","66.26","66.26","65.73","1.47%"
"03/22/2024","65.30","65.30","65.30","65.30","-1.49%"
"03/21/2024","66.29","66.29","66.29","66.29","-0.29%"
"03/20/2024","66.48","66.48","66.48","66.48","10.32%"
"03/19/2024","60.26","60.26","60.77","60.26","2.62%"
"03/18/2024","58.72","58.72","60.24","58.72","-0.88%"
"03/15/2024","59.24","59.24","59.24","58.72","0.00%"
"03/14/2024","59.24","59.24","59.24","59.19","-2.49%"
"03/13/2024","60.75","60.75","60.75","60.75","-2.41%"
"03/12/2024","62.25","62.25","62.25","62.25","0.02%"
"03/11/2024","62.24","62.24","62.24","62.20","-1.60%"
"03/08/2024","63.25","63.25","63.25","62.31","-0.74%"
"03/07/2024","63.72","63.72","63.72","63.26","-0.81%"
"03/06/2024","64.24","64.24","64.24","63.73","-0.77%"
"03/05/2024","64.74","64.74","64.74","64.26","-1.58%"
"03/04/2024","65.78","65.78","65.78","64.78","0.81%"
"03/01/2024","65.25","65.25","65.76","65.25","-0.02%"
"02/29/2024","65.26","65.74","65.74","65.26","-0.73%"
"02/28/2024","65.74","65.74","65.74","65.74","0.77%"
"02/27/2024","65.24","65.24","65.73","65.24","-0.05%"
"02/26/2024","65.27","65.27","65.27","65.19","0.09%"
"02/23/2024","65.21","65.21","65.28","65.21","0.05%"
"02/22/2024","65.18","66.72","66.72","65.18","-2.26%"
"02/21/2024","66.69","67.23","67.23","66.69","-0.85%"
"02/20/2024","67.26","67.24","67.26","67.24","0.01%"
"02/19/2024","67.25","67.25","67.25","67.25","-0.68%"
"02/16/2024","67.71","67.71","67.71","67.18","-2.25%"
"02/15/2024","69.27","69.27","69.27","67.76","0.10%"
"02/14/2024","69.20","69.20","69.26","69.20","1.41%"
"02/13/2024","68.24","68.24","69.19","68.24","-2.83%"
"02/12/2024","70.23","70.23","70.23","68.26","-0.66%"
"02/09/2024","70.70","70.70","70.70","70.19","0.00%"
"02/08/2024","70.70","70.70","70.70","70.66","-0.07%"
"02/07/2024","70.75","70.75","70.75","70.71","0.74%"
"02/06/2024","70.23","70.23","70.74","70.23","-2.04%"
"02/05/2024","71.69","71.69","71.69","70.18","-1.36%"
"02/02/2024","72.68","72.68","72.68","71.63","0.66%"
"02/01/2024","72.20","72.20","72.70","72.20","2.81%"
"01/31/2024","70.23","70.23","72.25","70.23","-1.39%"
"01/30/2024","71.22","71.22","71.22","70.20","-0.03%"
"01/29/2024","71.24","71.24","71.26","71.24","-0.71%"
"01/26/2024","71.75","71.75","71.75","71.22","0.76%"
